desa  ,longitude,latitude,luas_sawah_ha,kec,c,clat,clong
Mentaraman,112.42367079999998,-8.3074658,167.71,Donomulyo,0,-8.077813741918447,155.9316129943443
Purwodadi,112.6471579,-7.9353137999999985,140.0,Donomulyo,0,-8.077813741918447,155.9316129943443
Sumbermanjing Kulon,112.48292,-8.300142999999998,267.0,Pagak,1,-8.145971173121303,279.00798459819464
Pandanrejo,112.515309,-8.284676,112.0,Pagak,0,-8.077813741918447,155.9316129943443
Sumberkerto,112.532883,-8.273758,1.0,Pagak,2,-8.076277541865924,60.962571606312025
Sempol,112.506304,-8.254206,80.0,Pagak,2,-8.076277541865924,60.962571606312025
Pagak,112.51126399999998,-8.235336,17.0,Pagak,2,-8.076277541865924,60.962571606312025
Sumberejo,112.541991,-8.22194,10.0,Pagak,2,-8.076277541865924,60.962571606312025
Gampingan,112.530435,-8.194923,9.0,Pagak,2,-8.076277541865924,60.962571606312025
Tlogorejo,112.507235,-8.196447000000001,35.0,Pagak,2,-8.076277541865924,60.962571606312025
Bandungrejo,112.517974,-8.331230999999999,172.0,Bantur,0,-8.077813741918447,155.9316129943443
Sumberbening,112.53323600000002,-8.345398,210.0,Bantur,0,-8.077813741918447,155.9316129943443
